id,code,uic,name_short,name_medium,name_long,slug,country,type
105,BRUSZ,8814001,Brussel-Z,Brussel-Z. Midi,Brussel-Zuid Midi,brussel-zuid-midi,B,megastation
766,FBNL,8819406,Brus Airpt,Brussels Airport,Brussels Airport-Zaventem,brussels-airport-zaventem,B,megastation
96,BP,8400139,Buitenpost,Buitenpost,Buitenpost,buitenpost,NL,knooppuntSneltreinstation
62,BDE,8400140,Bunde,Bunde,Bunde,bunde,NL,stoptreinstation
573,BUENDE,8021173,Bünde (W),Bünde (Westf),Bünde (Westf),bunde-westf,D,stoptreinstation
88,BNK,8400141,Bunnik,Bunnik,Bunnik,bunnik,NL,stoptreinstation
108,BSMZ,8400145,Bussum Z,Bussum Zuid,Bussum Zuid,bussum-zuid,NL,stoptreinstation
119,CPS,8400147,Schollevr,Schollevaar,Capelle Schollevaar,capelle-schollevaar,NL,stoptreinstation
113,CAS,8400151,Castricum,Castricum,Castricum,castricum,NL,intercitystation
114,CHAMB,8774100,Chambéry,Chambéry,Chambéry,chambery,F,intercitystation
120,CVM,8400152,Chevremont,Chevremont,Chevremont,chevremont,NL,stoptreinstation
574,ECMF,8021119,Coesfeld,Coesfeld (Westf),Coesfeld (Westf),coesfeld-westf,D,stoptreinstation
117,CO,8400153,Coevorden,Coevorden,Coevorden,coevorden,NL,knooppuntSneltreinstation
575,COMO,8301307,Como S. G,Como S. Giovanni,Como S. Giovanni,como-s-giovanni,I,intercitystation
115,CK,8400155,Cuijk,Cuijk,Cuijk,cuijk,NL,stoptreinstation
116,CL,8400154,Culemborg,Culemborg,Culemborg,culemborg,NL,stoptreinstation
121,DA,8400164,Daarlervn,Daarlerveen,Daarlerveen,daarlerveen,NL,stoptreinstation
134,DLN,8400161,Dalen,Dalen,Dalen,dalen,NL,stoptreinstation
129,DL,8400167,Dalfsen,Dalfsen,Dalfsen,dalfsen,NL,sneltreinstation
157,DVNK,8400188,De Vink,De Vink,De Vink,de-vink,NL,stoptreinstation
783,DWE,8400745,Westereen,De Westereen,De Westereen,de-westereen,NL,stoptreinstation
127,DEI,8400168,Deinum,Deinum,Deinum,deinum,NL,stoptreinstation
123,DDN,8400169,Delden,Delden,Delden,delden,NL,stoptreinstation
144,DT,8400170,Delft,Delft,Delft,delft,NL,knooppuntIntercitystation
147,DTCP,8400166,Delft Camp,Delft Campus,Delft Campus,delft-campus,NL,stoptreinstation
158,DZ,8400171,Delfzijl,Delfzijl,Delfzijl,delfzijl,NL,stoptreinstation
159,DZW,8400175,Delfzijl W,Delfzijl West,Delfzijl West,delfzijl-west,NL,stoptreinstation
132,DLD,8400179,Den Dolder,Den Dolder,Den Dolder,den-dolder,NL,knooppuntStoptreinstation
214,GVC,8400282,Den Haag C,Den Haag C.,Den Haag Centraal,den-haag-centraal,NL,megastation
213,GV,8400280,Dn Haag HS,Den Haag HS,Den Haag HS,den-haag-hs,NL,knooppuntIntercitystation
302,LAA,8400380,Laan v NOI,Laan v NOI,Den Haag Laan v NOI,den-haag-laan-v-noi,NL,knooppuntStoptreinstation
215,GVM,8400278,Mariahoeve,Mariahoeve,Den Haag Mariahoeve,den-haag-mariahoeve,NL,stoptreinstation
216,GVMW,8400279,Moerwijk,Moerwijk,Den Haag Moerwijk,den-haag-moerwijk,NL,stoptreinstation
525,YPB,8400379,Ypenburg,Ypenburg,Den Haag Ypenburg,den-haag-ypenburg,NL,stoptreinstation
229,HDR,8400311,Den Helder,Den Helder,Den Helder,den-helder,NL,intercitystation
